Contrast,Difference,Lower_95_CI,Upper_95_CI,Adjusted_p
DMSO vs CTRL,-0.103,-0.345,0.139,0.711
IS6 vs CTRL,-0.388,-0.63,-0.146,0.00174
MZB vs CTRL,-0.598,-0.84,-0.357,2.92e-5
U73122 vs CTRL,-0.511,-0.753,-0.269,1.41e-4
U73433 vs CTRL,0.043,-0.198,0.285,0.989
IS6 vs DMSO,-0.285,-0.527,-0.043,0.0181
MZB vs DMSO,-0.496,-0.737,-0.254,1.9e-4
U73122 vs DMSO,-0.408,-0.65,-0.167,0.00112
U73433 vs DMSO,0.146,-0.096,0.388,0.381
MZB vs IS6,-0.21,-0.452,0.031,0.103
U73122 vs IS6,-0.123,-0.365,0.119,0.549
U73433 vs IS6,0.431,0.19,0.673,6.88e-4
U73122 vs MZB,0.087,-0.155,0.329,0.824
U73433 vs MZB,0.642,0.4,0.883,1.42e-5
U73433 vs U73122,0.555,0.313,0.796,6.3e-5
