Contrast,Difference,Lower_95_CI,Upper_95_CI,Adjusted_p
DMSO vs CTRL,2.8,-23.5,29,0.999
IS6 vs CTRL,-134.3,-160.5,-108.1,1.01e-8
MZB vs CTRL,-178,-204.2,-151.8,3.52e-10
U73122 vs CTRL,-164.3,-190.5,-138.1,1.04e-9
U73433 vs CTRL,4.1,-22.1,30.3,0.994
IS6 vs DMSO,-137,-163.2,-110.8,8.12e-9
MZB vs DMSO,-180.8,-207,-154.6,2.81e-10
U73122 vs DMSO,-167.1,-193.3,-140.9,8.44e-10
U73433 vs DMSO,1.3,-24.9,27.5,1
MZB vs IS6,-43.8,-70,-17.5,0.00124
U73122 vs IS6,-30,-56.2,-3.8,0.0219
U73433 vs IS6,138.4,112.2,164.6,7.33e-9
U73122 vs MZB,13.7,-12.5,39.9,0.523
U73433 vs MZB,182.1,155.9,208.3,2.51e-10
U73433 vs U73122,168.4,142.2,194.6,7.6e-10
